"subjno"	"study"	"status"	"beep"	"pa"	"na"
1	1	2	1	4.667	1
1	1	2	2	5	1
1	1	2	3	6	1
1	1	2	4	6	1
1	1	2	5	3.333	1
1	1	2	6	2	1.333
1	1	2	7	2	1.333
1	1	2	8	3.667	1
1	1	2	9	4.333	1
1	1	2	10	4	1
1	1	2	11	4.667	1.333
1	1	2	12	4.333	1.333
1	1	2	13	3.333	1
1	1	2	14	2	1.333
1	1	2	15	NA	NA
1	1	2	16	5.333	1
1	1	2	17	5	1
1	1	2	18	5.667	1
1	1	2	19	5.667	1
1	1	2	20	5.333	1
1	1	2	21	5	1.167
1	1	2	22	5	1.167
1	1	2	23	4.333	1.167
1	1	2	24	4.667	1.333
1	1	2	25	4.333	1.333
1	1	2	26	5.333	1.167
1	1	2	27	3.333	1.5
1	1	2	28	4.333	1.167
1	1	2	29	5.667	1
1	1	2	30	6	1
1	1	2	31	6	1
1	1	2	32	5.333	1
1	1	2	33	6	1
1	1	2	34	6.333	1
1	1	2	35	7	1
1	1	2	36	NA	NA
1	1	2	37	6.667	1
1	1	2	38	6.333	1
1	1	2	39	6	1
1	1	2	40	6.667	1
1	1	2	1	NA	NA
1	1	2	2	NA	NA
1	1	2	3	NA	NA
1	1	2	4	5	3.5
1	1	2	5	3	3.5
1	1	2	6	3	2.167
1	1	2	7	NA	NA
1	1	2	8	2.667	2
1	1	2	9	4	3
1	1	2	10	2.667	1.667
1	1	2	11	NA	NA
1	1	2	12	NA	NA
1	1	2	13	NA	NA
1	1	2	14	4	3.333
1	1	2	15	NA	NA
1	1	2	16	4.667	3
1	1	2	17	5.667	3.333
1	1	2	18	4	3
1	1	2	19	5.333	3.5
1	1	2	20	4	2.333
2	1	2	21	NA	NA
2	1	2	22	NA	NA
2	1	2	23	NA	NA
2	1	2	24	4.333	2.667
2	1	2	25	5	3.667
2	1	2	26	5.333	3.667
2	1	2	27	6	3.167
2	1	2	28	4.667	2.5
2	1	2	29	4.333	2.667
2	1	2	30	4.333	3.333
2	1	2	31	NA	NA
2	1	2	32	3.667	2.5
2	1	2	33	5	3.167
2	1	2	34	5.667	3.5
2	1	2	35	5	4.167
2	1	2	36	4.333	2.667
2	1	2	37	5.333	2.5
2	1	2	38	5.333	3.667
2	1	2	39	4.333	3
2	1	2	40	5.667	3.833
2	1	2	1	NA	NA
2	1	2	2	NA	NA
2	1	2	3	3.667	1.167
2	1	2	4	4.667	1.5
2	1	2	5	3.333	1.167
2	1	2	6	4.333	1
2	1	2	7	3.333	1.167
2	1	2	8	4.333	1
2	1	2	9	3.667	1
2	1	2	10	NA	NA
2	1	2	11	NA	NA
2	1	2	12	NA	NA
2	1	2	13	3.333	1
2	1	2	14	3.333	1.167
2	1	2	15	3	1
2	1	2	16	3.667	1
2	1	2	17	3	1
