study,status,beta_na,beta_na_ci_low,beta_na_ci_hi,beta_pa,beta_pa_ci_low,beta_pa_ci_hi,t_na,t_pa,p_na,p_pa
1,2,-0.361126416967501,-0.8628730410903167,0.1406202071553147,-0.33844828062721505,-0.5458954677008555,-0.13100109355357462,-1.4192498437186356,-3.2171315305773875,0.15738282678569196,0.0015103571060097786
3,0,-0.21589651358007445,-0.31705236074782284,-0.11474066641232603,-1.5598757103170122,-2.0777801119494743,-1.0419713086845501,-4.222146476034326,-5.9582545288895705,4.4938124031203306e-5,2.214345136373492e-8
3,1,-0.31556528157066505,-0.5110760172138898,-0.12005454592744028,-0.39421856005084527,-0.8048650785152309,0.016427958413540444,-3.192987840756486,-1.8990988923728536,0.0017634997619968911,0.05975036875450654
5,2,-0.11670916109316887,-0.35037742362139424,0.1169591014350565,-0.33356300809400913,-1.0429714080109591,0.3758453918229408,-0.9904581975664419,-0.9324219484497964,0.32424903561385465,0.3532781280448166
6,0,-0.14839371877989185,-0.22703756338052553,-0.06974987417925818,-1.9752103836121133,-2.7768792356913448,-1.173541531532882,-3.735947005484914,-4.878297422688969,2.876532745446816e-4,3.321859129286276e-6
6,1,-0.2653786393349125,-0.4295223338747809,-0.10123494479504414,-0.8194634353306631,-1.2469296915662964,-0.3919971790950298,-3.1914833485623206,-3.784239080952637,0.001686188122193554,2.1342213222736402e-4
7,3,-0.6005019866806952,-0.8012584411555554,-0.399745532205835,-0.8319978544010247,-1.0179018697988684,-0.646093839003181,-5.921372057369847,-8.859533496082314,3.016780581798116e-8,7.876608531604472e-15
8,0,-0.30312625502900115,-0.5150569944810287,-0.09119551557697358,-1.0654309516083975,-1.3527436547653386,-0.7781182484514565,-2.8380415944124957,-7.357997511761457,0.005507330344480335,5.537391801093739e-11
7,3,-0.5248723174439195,-0.6431604935841727,-0.4065841413036662,-1.1472473930555462,-1.359615270173379,-0.9348795159377135,-8.77157296048297,-10.679069216058933,4.966337903240213e-15,6.596131510116065e-20
7,3,-0.4990128101490417,-0.6250709639590475,-0.3729546563390359,-1.1299498763834066,-1.4131442700680532,-0.8467554826987601,-7.837077163989276,-7.8992870925346,2.009064230393032e-12,1.4460942119776683e-12
8,0,-0.3306744906527499,-0.5426958225100222,-0.11865315879547755,-1.2205728058843102,-1.830968359938765,-0.6101772518298554,-3.084259950615198,-3.954414297119777,0.0024720522542358192,1.2287547258766574e-4
10,0,-0.31328692920269874,-0.42481513529382187,-0.2017587231115756,-1.5831997964607794,-2.0647615434792703,-1.1016380494422884,-5.545560516820342,-6.490402554075747,1.1180074207141423e-7,9.241538641056266e-10
11,0,-0.20389970270836896,-0.29911912950124436,-0.10868027591549355,-0.8875279053542339,-1.288083520887273,-0.48697228982119484,-4.235834843591764,-4.3829567073233076,4.2411634173540854e-5,2.3679807825945316e-5
11,1,-0.31604678069626996,-0.47977046270066465,-0.15232309869187527,-1.2718418485152823,-1.6348531204132004,-0.9088305766173641,-3.81265241238968,-6.919908408387963,1.9669492013483228e-4,1.0656918286836732e-10
